	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.856	0.778	0.861	0.772	0.794	0.928
ecoli2	0.827	0.755	0.846	0.821	0.72	0.972
ecoli3	0.719	0.597	0.761	0.677	0.557	0.965
glass-0-1-2-3_vs_4-5-6	0.918	0.875	0.919	0.873	0.882	0.957
glass0	0.829	0.774	0.834	0.783	0.771	0.896
glass1	0.728	0.661	0.745	0.725	0.62	0.87
glass6	0.921	0.844	0.924	0.822	0.88	0.968
haberman	0.517	0.36	0.577	0.401	0.334	0.82
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.94	0.907	0.942	0.92	0.9	0.983
newthyroid2	0.914	0.877	0.919	0.923	0.857	0.981
page-blocks0	0.925	0.874	0.927	0.881	0.868	0.986
pima	0.731	0.66	0.741	0.702	0.627	0.855
segment0	0.986	0.979	0.986	0.985	0.974	0.997
vehicle0	0.941	0.907	0.941	0.903	0.914	0.968
vehicle1	0.64	0.517	0.674	0.59	0.465	0.883
vehicle2	0.963	0.943	0.963	0.939	0.947	0.979
vehicle3	0.635	0.524	0.68	0.653	0.441	0.92
wisconsin	0.96	0.947	0.96	0.945	0.95	0.97
yeast1	0.665	0.559	0.691	0.63	0.505	0.878
yeast3	0.87	0.773	0.877	0.768	0.783	0.97
