	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.856	0.778	0.861	0.77	0.794	0.929
ecoli2	0.835	0.766	0.852	0.84	0.73	0.974
ecoli3	0.719	0.597	0.761	0.677	0.557	0.965
glass-0-1-2-3_vs_4-5-6	0.919	0.879	0.921	0.882	0.882	0.96
glass0	0.832	0.777	0.835	0.781	0.779	0.892
glass1	0.74	0.674	0.753	0.727	0.64	0.866
glass6	0.921	0.844	0.924	0.822	0.88	0.968
haberman	0.515	0.358	0.572	0.396	0.334	0.811
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.915	0.949	0.921	0.914	0.983
newthyroid2	0.913	0.871	0.917	0.912	0.857	0.978
page-blocks0	0.926	0.875	0.928	0.882	0.869	0.987
pima	0.735	0.665	0.744	0.7	0.636	0.851
segment0	0.985	0.978	0.986	0.983	0.974	0.997
vehicle0	0.938	0.905	0.939	0.904	0.909	0.968
vehicle1	0.646	0.519	0.676	0.57	0.481	0.871
vehicle2	0.964	0.944	0.964	0.94	0.95	0.979
vehicle3	0.628	0.513	0.675	0.635	0.434	0.916
wisconsin	0.958	0.945	0.959	0.941	0.95	0.967
yeast1	0.659	0.553	0.688	0.63	0.495	0.88
yeast3	0.865	0.765	0.871	0.762	0.773	0.97
