	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.849	0.77	0.855	0.772	0.781	0.929
ecoli2	0.841	0.773	0.857	0.839	0.74	0.974
ecoli3	0.711	0.58	0.752	0.651	0.543	0.962
glass-0-1-2-3_vs_4-5-6	0.919	0.879	0.921	0.882	0.882	0.96
glass0	0.819	0.766	0.825	0.791	0.75	0.899
glass1	0.74	0.675	0.755	0.729	0.641	0.87
glass6	0.921	0.844	0.924	0.822	0.88	0.968
haberman	0.522	0.367	0.578	0.409	0.34	0.816
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.915	0.949	0.921	0.914	0.983
newthyroid2	0.921	0.88	0.925	0.912	0.871	0.978
page-blocks0	0.925	0.873	0.927	0.879	0.868	0.986
pima	0.733	0.662	0.742	0.696	0.634	0.849
segment0	0.984	0.978	0.984	0.985	0.971	0.997
vehicle0	0.938	0.904	0.939	0.904	0.909	0.968
vehicle1	0.659	0.54	0.688	0.601	0.493	0.882
vehicle2	0.963	0.942	0.963	0.936	0.95	0.977
vehicle3	0.625	0.509	0.672	0.629	0.429	0.915
wisconsin	0.961	0.947	0.961	0.94	0.956	0.966
yeast1	0.661	0.554	0.687	0.623	0.5	0.875
yeast3	0.865	0.765	0.872	0.761	0.773	0.97
