	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.983	0.99	0.984	0.987	0.993	0.975
ecoli1	0.842	0.764	0.849	0.772	0.768	0.931
ecoli2	0.832	0.775	0.85	0.867	0.719	0.981
ecoli3	0.723	0.597	0.761	0.666	0.557	0.965
glass-0-1-2-3_vs_4-5-6	0.907	0.863	0.91	0.87	0.863	0.957
glass0	0.835	0.785	0.841	0.81	0.771	0.91
glass1	0.753	0.697	0.77	0.796	0.626	0.913
glass6	0.915	0.849	0.918	0.851	0.863	0.973
haberman	0.517	0.36	0.578	0.405	0.334	0.822
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.933	0.908	0.937	0.939	0.886	0.989
newthyroid2	0.93	0.897	0.935	0.929	0.886	0.983
page-blocks0	0.924	0.872	0.926	0.88	0.865	0.986
pima	0.717	0.641	0.726	0.676	0.612	0.841
segment0	0.983	0.976	0.983	0.983	0.969	0.997
vehicle0	0.951	0.921	0.952	0.912	0.932	0.971
vehicle1	0.654	0.533	0.684	0.597	0.486	0.881
vehicle2	0.965	0.948	0.966	0.948	0.949	0.982
vehicle3	0.631	0.516	0.678	0.64	0.438	0.917
wisconsin	0.962	0.949	0.962	0.943	0.956	0.968
yeast1	0.656	0.549	0.686	0.632	0.489	0.883
yeast3	0.877	0.775	0.882	0.76	0.795	0.969
